2.1out

Accuracy:  0.606694560669456
[[ 0  0  0  2  0  0  0  0  0  0 10  0  0]	    Sitting
 [ 0 12  0  0  0  0  0  0  0  0  0  0  0]	    Lying
 [ 0  3  5  0  0  0  3  0  1  0  0  0  0]	    Standing
 [ 0  0  0 20  2  1  0  0  0  0  0  1  0]	    Washing dishes
 [ 0  0  0  0 10  1  0  0  1  0  0  0  0]	    Vacuuming
 [ 0  0  0  6  2  5  0  0  2  0  0  0  0]	    Sweeping
 [ 0  0  0  3  0  2 34  0 16  0  0  0  0]	    Walking outside
 [ 0  0  0  0  0  0  8  0  1  0  0  0  0]	    Ascending stairs
 [ 0  0  0  0  0  0  1  0  6  0  0  0  0]	    Descending stairs
 [ 0  0  0  0  0  0  0  0  0 24  0  0  0]	    Treadmill running (8.3 km/h)
 [ 0  0  0  3  0  0  0  0  0  0 19  2  0]	    Bicycling (50 watt)
 [ 0  1  0  1  0  1  0  0  0  0 20  1  0]	    Bicycling (100 watt)
 [ 0  0  0  0  0  0  0  0  0  0  0  0  9]]	    Rope jumping

