1.1out

Accuracy:  0.4225941422594142
[[ 0  1  0  1  0  0  0  0  0  0 10  0  0]	    Sitting
 [ 0 12  0  0  0  0  0  0  0  0  0  0  0]	    Lying
 [ 0  3  1  0  0  0  8  0  0  0  0  0  0]	    Standing
 [ 0  0  0 16  1  7  0  0  0  0  0  0  0]	    Washing dishes
 [ 0  0  0  0 10  1  0  0  1  0  0  0  0]	    Vacuuming
 [ 0  0  0  4  4  7  0  0  0  0  0  0  0]	    Sweeping
 [ 0  0  0  3  2  0  0  0 50  0  0  0  0]	    Walking outside
 [ 0  0  0  0  1  0  0  0  8  0  0  0  0]	    Ascending stairs
 [ 0  0  0  0  4  0  0  0  3  0  0  0  0]	    Descending stairs
 [ 0  0  0  0  0  0  0  0  0 24  0  0  0]	    Treadmill running (8.3 km/h)
 [ 0  0  0  4  0  0  0  0  0  0 18  2  0]	    Bicycling (50 watt)
 [ 0  1  0  2  0  0  0  0  0  0 20  1  0]	    Bicycling (100 watt)
 [ 0  0  0  0  0  0  0  0  0  0  0  0  9]]	    Rope jumping

